AnnoScolastico;CodScuola;Gestione;Denominazione;Indirizzo;MunicipioScuola;NilScuola;Capienza;Numero_Classi;Alunni_Tot;Alunni_M;Alunni_F;Alunni_Resid;Alunni_NonResid;Alunni_NazNasc_Italia;Alunni_NazNasc_UE15;Alunni_NazNasc_UE_Nuovi;Alunni_NazNasc_Europa_Altri;Alunni_NazNasc_Africa;Alunni_NazNasc_AmericaNord;Alunni_NazNasc_AmericaCentroSud;Alunni_NazNasc_Asia;Alunni_NazNasc_Altro_NonDisp;Alunni_Cittad_Ita;Alunni_Cittad_Non_Ita;Alunni_Cittad_NonDisp
2015/2016;2048;statale;ANTONIO STOPPANI;VIA STOPPANI ANTONIO 1;3;Buenos Aires - Venezia (21);350;19;434;220;214;419;15;413;5;1;5;0;0;2;8;0;402;32;0
2015/2016;2047;statale;Bacone;VIA MATTEUCCI CARLO 3;3;Buenos Aires - Venezia (21);450;23;520;278;242;514;6;493;2;3;3;7;1;4;7;0;433;87;0
2015/2016;2046;statale;MARGHERITA DI SAVOIA - CARDINALE BORROMEO;VIA CASATI FELICE 6;3;Buenos Aires - Venezia (21);400;12;263;124;139;254;9;239;4;1;3;4;1;1;10;0;209;54;0
2015/2016;2127;Paritaria;RUDOLF STEINER;VIA CLERICETTI CELESTE 45;3;Città Studi (22);0;5;120;62;58;67;53;116;1;0;1;0;0;0;2;0;118;2;0
2015/2016;2126;statale;PIER FRANCO BONETTI;VIA TAJANI FILIPPO 12;3;Città Studi (22);300;10;190;107;83;180;10;168;0;1;2;7;0;2;10;0;139;51;0
2015/2016;2123;statale;NOLLI - ARQUATI;VLE ROMAGNA 16;3;Città Studi (22);600;22;493;251;242;484;9;449;4;1;6;6;1;13;13;0;419;74;0
2015/2016;2246;statale;ANTONIO SCARPA;VIA CLERICETTI CELESTE 22;3;Città Studi (22);375;16;299;161;138;287;12;274;1;2;6;2;1;7;6;0;264;35;0
2015/2016;2118;statale;LEONARDO DA VINCI;PZA LEONARDO DA VINCI 2;3;Città Studi (22);750;35;847;441;406;810;37;820;7;0;4;2;0;6;8;0;803;44;0
2015/2016;2034;Paritaria;FAES ARGONNE - SCUOLA PRIMARIA MASCHILE;VIA ZANOIA GIUSEPPE 1;3;Città Studi (22);0;5;114;113;1;98;16;109;0;0;1;0;1;0;3;0;113;1;0
2015/2016;2115;Paritaria;FAES MONFORTE - SCUOLA PRIMARIA FEMMINILE;VIA AMADEO GIAN ANTONIO 11;3;Città Studi (22);0;5;126;0;126;102;24;123;0;0;0;0;2;1;0;0;124;2;0
2015/2016;2116;Paritaria;SAN GIUSEPPE;VIA BAZZINI ANTONIO 10;3;Città Studi (22);0;5;100;47;53;92;8;94;0;0;1;1;0;3;1;0;98;2;0
2015/2016;2248;Paritaria;LIBERA SCUOLA STEINERIANA;VIA PINI TOMMASO 1;3;Lambrate (23);0;5;97;50;47;41;56;92;3;0;0;1;0;1;0;0;94;3;0
2015/2016;2129;Paritaria;FONDAZIONE SACRO CUORE;VIA ROMBON 78;3;Lambrate (23);0;10;272;129;143;108;164;268;2;0;2;0;0;0;0;0;269;3;0
2015/2016;2130;statale;ENRICO TOTI;VIA CIMA CAMILLO E OTTO 15;3;Lambrate (23);200;6;122;61;61;112;10;103;3;3;0;7;0;1;5;0;80;42;0
2015/2016;2131;statale;ELSA MORANTE;VIA PINI TOMMASO 3;3;Lambrate (23);475;15;329;178;151;314;15;311;0;7;0;5;0;3;3;0;259;70;0
2015/2016;2114;statale;SALVATORE QUASIMODO;VIA CARDINALE MEZZOFANTI 25;4;Corsica (25);375;19;271;143;128;260;11;237;0;3;11;3;0;5;11;1;186;85;0
2015/2016;2311;Privata non paritaria;ANDERSEN SCHOOL;VIA SAN MARTINO DON CARLO 8;4;Corsica (25);0;12;217;111;106;156;61;191;5;0;0;2;6;0;9;4;197;20;0
2015/2016;2113;Paritaria;MARIA CONSOLATRICE;VLE CORSICA 82;4;Corsica (25);0;10;221;122;99;168;53;217;0;1;0;0;0;2;1;0;219;2;0
2015/2016;2119;statale;CINQUE GIORNATE;VLE MUGELLO 5;4;XXII Marzo (26);450;25;535;268;267;518;17;513;4;0;4;5;0;3;5;1;473;62;0
2015/2016;2053;Paritaria;MARIA AUSILIATRICE;VIA BONVESIN DE LA RIVA 12;4;XXII Marzo (26);0;10;214;102;112;194;20;209;1;0;1;2;0;0;1;0;208;6;0
2015/2016;2052;statale;EMILIO MOROSINI - MARIA BEATRICE DI SAVOIA;VIA MOROSINI EMILIO 11;4;XXII Marzo (26);600;27;561;307;254;539;22;530;5;3;5;6;0;5;7;0;467;94;0
2015/2016;2060;statale;GIULIO ROMANO;VIA ROMANO GIULIO 2;5;Porta Romana (27);250;11;248;134;114;236;12;238;0;0;0;0;0;7;2;1;219;29;0
2015/2016;2056;Paritaria;SUORE MANTELLATE;VIA VASARI GIORGIO 16;4;Porta Romana (27);0;5;94;48;46;86;8;91;0;0;1;0;0;1;1;0;92;2;0
2015/2016;2055;statale;GIORDANO OTTOLINI - BELGIOIOSO;VIA COLLETTA PIETRO 49;4;Umbria - Molise (28);500;20;423;209;214;404;19;396;3;1;1;7;0;4;11;0;356;67;0
2015/2016;2054;statale;TOMMASO GROSSI;VIA MONTE VELINO 2;4;Ortomercato (29);625;15;321;184;137;295;26;246;0;17;5;34;0;5;14;0;134;187;0
2015/2016;2140;statale;MADRE TERESA DI CALCUTTA;LGO GUERRIERI GONZAGA ANSELMO 4;4;Mecenate (30);225;8;163;79;84;161;2;153;0;0;3;5;0;1;1;0;114;49;0
2015/2016;2141;statale;SAN GIOVANNI BOSCO;VIA SORDELLO LUIGI 7;4;Mecenate (30);375;8;170;94;76;163;7;157;0;4;1;2;0;3;2;1;128;42;0
2015/2016;2139;statale;GEREMIA MELERI;VIA MELERI GEREMIA 14;4;Mecenate (30);225;11;258;144;114;250;8;249;1;2;0;0;0;3;3;0;216;42;0
2015/2016;2138;statale;DECORATI AL VALOR CIVILE;VIA DECORATI AL VALOR CIVILE 10;4;Mecenate (30);250;10;234;120;114;223;11;213;2;3;1;8;0;3;4;0;184;50;0
2015/2016;2142;statale;Ucelli Di Nemi;VIA UCELLI DI NEMI GUIDO 54;4;Parco Monlué - Ponte Lambro (31);200;10;208;102;106;198;10;183;0;3;1;5;0;11;5;0;118;90;0
2015/2016;2154;statale;PASQUALE SOTTOCORNO;VIA MONTE PIANA 11;4;Rogoredo (33);350;17;409;221;188;396;13;384;1;1;4;9;0;3;7;0;313;96;0
2015/2016;2147;statale;FABIO FILZI;VIA RAVENNA 15;4;Lodi - Corvetto (35);300;12;204;107;97;164;40;136;0;24;2;21;0;6;15;0;67;135;2
2015/2016;2152;statale;RENZO PEZZANI;VIA MARTINENGO FRANCESCO 34;4;Lodi - Corvetto (35);500;18;410;209;201;395;15;382;2;3;7;7;0;2;7;0;306;104;0
2015/2016;2143;statale;MARCELLO CANDIA - Polesine;VIA POLESINE 12;4;Lodi - Corvetto (35);325;15;319;149;170;289;30;262;3;2;5;25;0;5;16;1;138;181;0
2015/2016;2304;Paritaria;ST.LOUIS SCHOOL;VIA CAVIGLIA ENRICO 1;4;Lodi - Corvetto (35);0;16;334;182;152;292;42;311;8;0;4;2;5;0;4;0;326;8;0
